Country Name,Life Ladder
Afghanistan,3.3626470588235295
South Sudan,3.465529411764706
Central African Republic,3.471
Togo,3.483411764705882
Burundi,3.548058823529412
Rwanda,3.650764705882353
Tanzania,3.6915882352941174
Zimbabwe,3.8052941176470587
Haiti,3.8696470588235297
Comoros,3.8869999999999996
Sierra Leone,3.944411764705882
Botswana,4.0009999999999994
Benin,4.008705882352941
Liberia,4.046882352941176
Malawi,4.059647058823529
Madagascar,4.068176470588235
Chad,4.101411764705882
Lesotho,4.11335294117647
Guinea,4.223058823529412
Mali,4.227941176470588
Burkina Faso,4.236882352941176
Cambodia,4.268647058823529
Uganda,4.306588235294118
Sri Lanka,4.316529411764706
Niger,4.340117647058824
Sudan,4.342294117647059
Georgia,4.378470588235294
India,4.38735294117647
Ethiopia,4.394705882352941
Myanmar,4.395705882352941
Kenya,4.4092352941176465
Angola,4.415529411764706
Mauritania,4.415823529411765
Zambia,4.452117647058823
Eswatini,4.454176470588235
Gabon,4.459647058823529
Lebanon,4.477058823529411
Senegal,4.514823529411764
Bulgaria,4.5526470588235295
Bangladesh,4.638117647058824
Namibia,4.639941176470589
Cameroon,4.64764705882353
Armenia,4.66435294117647
Djibouti,4.686
Iraq,4.726411764705882
Mozambique,4.739529411764706
Ghana,4.756117647058823
Tunisia,4.761588235294118
Ukraine,4.791764705882352
Nepal,4.807705882352941
